Date,Stock,Sector,Closing Price,Trading Volume
2023-01-01,AAPL,Finance,435.43,4177151.0
2023-01-02,AAPL,Finance,,4834963.0
2023-01-03,AAPL,Finance,487.2,2903696.0
2023-01-04,AAPL,Finance,384.38,2193373.0
2023-01-05,AAPL,Finance,179.8,2472280.0
2023-01-06,AAPL,Finance,394.5,3016623.0
2023-01-07,AAPL,Finance,311.94,2806871.0
2023-01-08,AAPL,Finance,382.89,970123.0
2023-01-09,AAPL,Finance,407.11,3086249.0
2023-01-10,AAPL,Finance,134.92,1959582.0
2023-01-11,AAPL,Finance,302.44,4544499.0
2023-01-12,AAPL,Finance,472.81,2229885.0
2023-01-13,AAPL,Finance,228.26,4820642.0
2023-01-14,AAPL,Finance,,
2023-01-15,AAPL,Finance,247.69,4852525.0
2023-01-16,AAPL,Finance,281.71,649239.0
2023-01-17,AAPL,Finance,319.44,656701.0
2023-01-18,AAPL,Finance,319.57,3147569.0
2023-01-19,AAPL,Finance,180.69,4728120.0
2023-01-20,AAPL,Finance,373.83,1370464.0
2023-01-21,AAPL,Finance,135.15,885332.0
2023-01-22,AAPL,Finance,155.53,867950.0
2023-01-23,AAPL,Finance,101.08,266472.0
2023-01-24,AAPL,Finance,146.68,497710.0
2023-01-25,AAPL,Finance,289.27,4417048.0
2023-01-26,AAPL,Finance,342.44,3288729.0
2023-01-27,AAPL,Finance,417.72,4885956.0
2023-01-28,AAPL,Finance,142.68,2950171.0
2023-01-29,AAPL,Finance,440.29,1010775.0
2023-01-30,AAPL,Finance,398.39,2696874.0
2023-01-31,AAPL,Finance,263.41,658924.0
2023-02-01,AAPL,Finance,473.18,3981185.0
2023-02-02,AAPL,Finance,496.37,4473656.0
2023-02-03,AAPL,Finance,182.0,4112595.0
2023-02-04,AAPL,Finance,251.69,2390435.0
2023-02-05,AAPL,Finance,470.58,531413.0
2023-02-06,AAPL,Finance,388.64,1452564.0
2023-02-07,AAPL,Finance,119.24,2524050.0
2023-02-08,AAPL,Finance,412.61,4265100.0
2023-02-09,AAPL,Finance,431.18,963561.0
2023-02-10,AAPL,Finance,,402186.0
2023-02-11,AAPL,Finance,419.81,3307393.0
2023-02-12,AAPL,Finance,430.05,3928464.0
2023-02-13,AAPL,Finance,174.56,1126553.0
2023-02-14,AAPL,Finance,194.28,1335202.0
2023-02-15,AAPL,Finance,353.5,245271.0
2023-02-16,AAPL,Finance,463.15,2315685.0
2023-02-17,AAPL,Finance,226.48,3843797.0
2023-02-18,AAPL,Finance,335.32,1614542.0
2023-02-19,AAPL,Finance,373.19,4280656.0
2023-02-20,AAPL,Finance,280.78,3030184.0
2023-02-21,AAPL,Finance,385.51,176898.0
2023-02-22,AAPL,Finance,459.87,3395097.0
2023-02-23,AAPL,Finance,349.64,388316.0
2023-02-24,AAPL,Finance,315.91,2108954.0
2023-02-25,AAPL,Finance,275.5,1929553.0
2023-02-26,AAPL,Finance,330.99,4188657.0
2023-02-27,AAPL,Finance,242.14,3141341.0
2023-02-28,AAPL,Finance,256.59,1139504.0
2023-03-01,AAPL,Finance,312.74,4187810.0
2023-03-02,AAPL,Finance,126.65,2205058.0
2023-03-03,AAPL,Finance,191.61,1775843.0
2023-03-04,AAPL,Finance,317.14,134701.0
2023-03-05,AAPL,Finance,272.61,3329028.0
2023-03-06,AAPL,Finance,233.13,1821610.0
2023-03-07,AAPL,Finance,392.22,2280712.0
2023-03-08,AAPL,Finance,377.49,2439767.0
2023-03-09,AAPL,Finance,166.69,2714235.0
2023-03-10,AAPL,Finance,451.45,591036.0
2023-03-11,AAPL,Finance,298.17,427304.0
2023-03-12,AAPL,Finance,396.58,2562616.0
2023-03-13,AAPL,Finance,329.26,2810241.0
2023-03-14,AAPL,Finance,499.08,3533803.0
2023-03-15,AAPL,Finance,400.96,1242953.0
2023-03-16,AAPL,Finance,382.79,4061352.0
2023-03-17,AAPL,Finance,411.43,4078702.0
2023-03-18,AAPL,Finance,157.25,4159175.0
2023-03-19,AAPL,Finance,181.82,426916.0
2023-03-20,AAPL,Finance,385.63,3697706.0
2023-03-21,AAPL,Finance,297.59,4606554.0
2023-03-22,AAPL,Finance,401.85,705409.0
2023-03-23,AAPL,Finance,141.17,1174135.0
2023-03-24,AAPL,Finance,314.59,3089179.0
2023-03-25,AAPL,Finance,251.53,
2023-03-26,AAPL,Finance,282.8,3380772.0
2023-03-27,AAPL,Finance,341.58,4257893.0
2023-03-28,AAPL,Finance,,503119.0
2023-03-29,AAPL,Finance,315.94,4266769.0
2023-03-30,AAPL,Finance,294.54,4420295.0
2023-03-31,AAPL,Finance,263.58,502732.0
2023-04-01,AAPL,Finance,408.75,606079.0
2023-04-02,AAPL,Finance,104.88,2050013.0
2023-04-03,AAPL,Finance,339.38,2723836.0
2023-04-04,AAPL,Finance,326.2,1232658.0
2023-04-05,AAPL,Finance,386.47,2085209.0
2023-04-06,AAPL,Finance,339.61,4422626.0
2023-04-07,AAPL,Finance,430.72,756951.0
2023-04-08,AAPL,Finance,483.63,111303.0
2023-04-09,AAPL,Finance,237.01,1310209.0
2023-04-10,AAPL,Finance,,3579591.0
2023-04-11,AAPL,Finance,269.44,2466610.0
2023-04-12,AAPL,Finance,215.17,4280303.0
2023-04-13,AAPL,Finance,345.98,1168199.0
2023-04-14,AAPL,Finance,464.74,4276224.0
2023-04-15,AAPL,Finance,155.65,4784346.0
2023-04-16,AAPL,Finance,140.32,558298.0
2023-04-17,AAPL,Finance,202.41,1147343.0
